SYMBOL,FULLNAME,SECTOR
SRHHYPOLTD,Sree Rayalaseema Hi-Strength Hypo Limited,CHEMICALS
SRSLTD,SRS Limited,MEDIA & ENTERTAINMENT
SRTRANSFIN,Shriram Transport Finance Company Limited,FINANCE - LEASING & HIRE PURCHASE
SSLT,Sesa Sterlite Limited,MINING/MINERALS
SSWL,Steel Strips Wheels Limited,AUTO ANCILLARIES
STAR,Strides Arcolab Limited,MEDIA & ENTERTAINMENT
STCINDIA,The State Trading Corporation of India Limited,TRADING
STEL,Stel Holdings Limited,PHARMACEUTICALS
STERLINBIO,Sterling Biotech Limited,PHARMACEUTICALS
STOREONE,Store One Retail India Limited,TEXTILES - READYMADE APPARELS
STRTECH,Sterlite Technologies Limited,CABLES - TELEPHONE
STYABS,Styrolution ABS (India) Limited,PETROCHEMICALS
SUBROS,Subros Limited,AUTO ANCILLARIES
SUDAR,Sudar Industries Limited,CEMENT - MINI
SUDARSCHEM,Sudarshan Chemical Industries Limited,DYES & PIGMENTS
SUJANATWR,Sujana Tower Limited,some problem with symbol: SUJANATWR
SUJANAUNI,Sujana Universal Industries Limited,DOMESTIC APPLIANCES
SUMEETINDS,Sumeet Industries Limited,TEXTILES - MANMADE
SUMMITSEC,Summit Securities Limited,FINANCE - INVESTMENTS
SUNCLAYLTD,Sundaram Clayton Limited,AUTO ANCILLARIES
SUNDARAM,Sundaram Multi Pap Limited,PRINTING & STATIONERY
SUNDARMFIN,Sundaram Finance Limited,FINANCE - LEASING & HIRE PURCHASE
SUNDRMBRAK,Sundaram Brake Linings Limited,AUTO ANCILLARIES
SUNDRMFAST,Sundram Fasteners Limited,FASTENERS
SUNFLAG,Sunflag Iron And Steel Company Limited,STEEL - ROLLING
SUNILHITEC,Sunil Hitech Engineers Limited,POWER - TRANSMISSION/EQUIPMENT
SUNPHARMA,Sun Pharmaceuticals Industries Limited,PHARMACEUTICALS
SUNTECK,Sunteck Realty Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
SUNTV,Sun TV Network Limited,MEDIA & ENTERTAINMENT
SUPER,Super Sales India Limited,TEXTILES - HOSIERY/KNITWEAR
SUPERSPIN,Super Spinning Mills Limited,TEXTILES - SPINNING - COTTON BLENDED
SUPPETRO,Supreme Petrochem Limited,PETROCHEMICALS
SUPRAJIT,Suprajit Engineering Limited,AUTO ANCILLARIES
SUPREMEIND,Supreme Industries Limited,PLASTICS
SUPREMEINF,Supreme Infrastructure India Limited,CONSTRUCTION & CONTRACTING - CIVIL
SURANAT&P,Surana Telecom and Power Limited,CABLES - TELEPHONE
SURYAJYOTI,Suryajyoti Spinning Mills Limited,TEXTILES - SPINNING - COTTON BLENDED
SURYALAXMI,Suryalakshmi Cotton Mills Limited,TEXTILES - SPINNING - COTTON BLENDED
SURYAROSNI,Surya Roshni Limited,STEEL - TUBES/PIPES
SUVEN,Suven Life Sciences Limited,PHARMACEUTICALS
SUZLON,Suzlon Energy Limited,INFRASTRUCTURE - GENERAL
SWANENERGY,Swan Energy Limited,TRADING
SWARAJENG,Swaraj Engines Limited,ENGINES
SWELECTES,Swelect Energy Systems Limited,ELECTRIC EQUIPMENT
SYMPHONY,Symphony Limited,CONSUMER GOODS - WHITE GOODS
SYNCOM,Syncom Healthcare Limited,PHARMACEUTICALS
SYNDIBANK,Syndicate Bank,BANKS - PUBLIC SECTOR
TAJGVK,Taj GVK Hotels & Resorts Limited,HOTELS
TAKE,Take Solutions Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
TALBROAUTO,Talbros Automotive Components Limited,AUTO ANCILLARIES
TALWALKARS,Talwalkars Better Value Fitness Limited,MISCELLANEOUS
TANFACIND,Tanfac Industries Limited,CHEMICALS
TANTIACONS,Tantia Constructions Limited,CONSTRUCTION & CONTRACTING - CIVIL
TARAJEWELS,Tara Jewels Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
TATACHEM,Tata Chemicals Limited,CHEMICALS
TATACOFFEE,Tata Coffee Limited,PLANTATIONS - TEA & COFFEE
TATACOMM,Tata Communications Limited,TELECOMMUNICATIONS - SERVICE
TATAELXSI,Tata Elxsi Limited,COMPUTERS - SOFTWARE
TATAGLOBAL,Tata Global Beverages Limited,PLANTATIONS - TEA & COFFEE
TATAINVEST,Tata Investment Corporation Limited,FINANCE - INVESTMENTS
TATAMOTORS,Tata Motors Limited,AUTO - LCVS/HCVS
TATAMTRDVR,Tata Motors Limited,AUTO - LCVS/HCVS
TATAPOWER,Tata Power Company Limited,POWER - GENERATION/DISTRIBUTION
TATASPONGE,Tata Sponge Iron Limited,STEEL - SPONGE IRON
TATASTEEL,Tata Steel Limited,STEEL - LARGE
TBZ,Tribhovandas Bhimji Zaveri Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
TCI,Transport Corporation of India Limited,FINANCE - INVESTMENTS
TCS,Tata Consultancy Services Limited,COMPUTERS - SOFTWARE
TDPOWERSYS,TD Power Systems Limited,ENGINEERING - HEAVY
TECHM,Tech Mahindra Limited,COMPUTERS - SOFTWARE
TECHNO,Techno Electric & Engineering Company Limited,CASTINGS & FORGINGS
TECHNOFAB,Technofab Engineering Limited,ENGINEERING
TEXINFRA,Texmaco Infrastructure & Holdings Limited,INFRASTRUCTURE - GENERAL
TEXMOPIPES,Texmo Pipes and Products Limited,PLASTICS
TEXRAIL,Texmaco Rail & Engineering Limited,INFRASTRUCTURE - GENERAL
TFCILTD,Tourism Finance Corporation of India Limited,FINANCE - TERM LENDING INSTITUTIONS
TGBHOTELS,TGB BANQUETS AND HOTELS LIMITED,HOTELS
THANGAMAYL,Thangamayil Jewellery Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
THEBYKE,The Byke Hospitality Limited,FINANCE - GENERAL
THEMISMED,Themis Medicare Limited,PHARMACEUTICALS
THERMAX,Thermax Limited,INFRASTRUCTURE - GENERAL
THINKSOFT,Thinksoft Global Services Limited,COMPUTERS - SOFTWARE
THIRUSUGAR,Thiru Arooran Sugars Limited,SUGAR
THOMASCOOK,Thomas Cook  (India)  Limited,MISCELLANEOUS
TI,Tilaknagar Industries Limited,STEEL - MEDIUM / SMALL
TIDEWATER,Tide Water Oil Company (India) Limited,LUBRICANTS
TIIL,Technocraft Industries (India) Limited,STEEL - MEDIUM / SMALL
TIJARIA,Tijaria Polypipes Limited,PLASTICS
TIL,TIL Limited,BREWERIES & DISTILLERIES
TIMBOR,Timbor Home Limited,MISCELLANEOUS
TIMETECHNO,Time Technoplast Limited,PACKAGING
TIMKEN,Timken India Limited,BEARINGS
TINPLATE,The Tinplate Company of India Limited,METALS - NON FERROUS
TIPSINDLTD,TIPS Industries Limited,MEDIA & ENTERTAINMENT
TIRUMALCHM,Thirumalai Chemicals Limited,CHEMICALS
TITAN,Titan Industries Limited,STEEL - MEDIUM / SMALL
TNPETRO,Tamilnadu PetroProducts Limited,DETERGENTS
TNPL,Tamil Nadu Newsprint & Papers Limited,PAPER
TORNTPHARM,Torrent Pharmaceuticals Limited,PHARMACEUTICALS
TORNTPOWER,Torrent Power Limited,POWER - GENERATION/DISTRIBUTION
TREEHOUSE,Tree House Education & Accessories Limited,COMPUTERS - SOFTWARE - TRAINING
TRENT,Trent Limited,MISCELLANEOUS
TRF,TRF Limited,ENGINEERING - HEAVY
TRIDENT,Trident Limited,CONSTRUCTION & CONTRACTING - CIVIL
TRIGYN,Trigyn Technologies Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
TRIL,Transformers And Rectifiers (India) Limited,MISCELLANEOUS
TRITURBINE,Triveni Turbine Limited,ENGINEERING - HEAVY
TRIVENI,Triveni Engineering & Industries Limited,GLASS & GLASS PRODUCTS
TTKHEALTH,TTK Healthcare Limited,PHARMACEUTICALS
TTKPRESTIG,TTK Prestige Limited,DOMESTIC APPLIANCES
TTL,T T Limited,TEXTILES - HOSIERY/KNITWEAR
TTML,Tata Teleservices (Maharashtra) Limited,TELECOMMUNICATIONS - SERVICE
TUBEINVEST,Tube Investments of India Limited,MISCELLANEOUS
TULIP,Tulip Telecom Limited,TELECOMMUNICATIONS - SERVICE
TULSI,Tulsi Extrusions Limited,SUGAR
TV18BRDCST,TV18 Broadcast Limited,MEDIA & ENTERTAINMENT
TVSELECT,TVS Electronics Limited,COMPUTERS - HARDWARE
TVSMOTOR,TVS Motor Company Limited,AUTO - 2 & 3 WHEELERS
TVSSRICHAK,TVS Srichakra Limited,TYRES
TVTODAY,TV Today Network Limited,MEDIA & ENTERTAINMENT
TWL,Titagarh Wagons Limited,INFRASTRUCTURE - GENERAL
UBENGG,UB Engineering Limited,ENGINEERING - HEAVY
UBHOLDINGS,United Breweries (Holdings) Limited,TRADING
UBL,United Breweries Limited,BREWERIES & DISTILLERIES
UCALFUEL,Ucal Fuel Systems Limited,AUTO ANCILLARIES
UCOBANK,UCO Bank,BANKS - PUBLIC SECTOR
UFLEX,UFLEX Limited,PACKAGING
UGARSUGAR,The Ugar Sugar Works Limited,SUGAR
UJAAS,Ujaas Energy Limited,POWER - TRANSMISSION/EQUIPMENT
ULTRACEMCO,UltraTech Cement Limited,CEMENT - MAJOR
UNICHEMLAB,Unichem Laboratories Limited,PHARMACEUTICALS
UNIENTER,Uniphos Enterprises Limited,TRADING
UNIONBANK,Union Bank of India,BANKS - PUBLIC SECTOR
UNITECH,Unitech Limited,PACKAGING
UNITEDBNK,United Bank of India,BANKS - PUBLIC SECTOR
UNITY,Unity Infraprojects Limited,STEEL - MEDIUM / SMALL
UPERGANGES,Upper Ganges Sugar & Industries Limited,SUGAR
UPL,UPL Limited,CHEMICALS
USHAMART,Usha Martin Limited,STEEL - LARGE
USHERAGRO,Usher Agro Limited,FOOD PROCESSING
UTTAMSTL,Uttam Galva Steels Limited,STEEL - GP/GC SHEETS
UTTAMVALUE,Uttam Value Steels Limited,STEEL - CR/HR STRIPS
VADILALIND,Vadilal Industries Limited,FOOD PROCESSING
VAIBHAVGBL,Vaibhav Global Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
VAKRANSOFT,Vakrangee Softwares Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
VALECHAENG,Valecha Engineering Limited,CONSTRUCTION & CONTRACTING - CIVIL
VALUEIND,Value Industries Limited,CONSUMER GOODS - WHITE GOODS
VARDHACRLC,Vardhman Acrylics Limited,TEXTILES - MANMADE
VARDMNPOLY,Vardhman Polytex Limited,TEXTILES - SPINNING - COTTON BLENDED
VARUN,Varun Industries Limited,CEMENT - MINI
VARUNSHIP,Varun Shipping Company Limited,SHIPPING
VASCONEQ,Vascon Engineers Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
VENKEYS,Venky's (India) Limited,MISCELLANEOUS
VENUSREM,Venus Remedies Limited,PHARMACEUTICALS
VESUVIUS,Vesuvius India Limited,CEMENT - PRODUCTS/BUILDING MATERIALS
VGUARD,V-Guard Industries Limited,MISCELLANEOUS
VHL,Vardhman Holdings Limited,TEXTILES - SPINNING - SYNTHETIC BLENDED
VICEROY,Viceroy Hotels Limited,HOTELS
VIDEOIND,Videocon Industries Limited,CONSUMER GOODS - ELECTRONIC
VIJAYABANK,Vijaya Bank,BANKS - PUBLIC SECTOR
VIJSHAN,Vijay Shanthi Builders Limited,CONSTRUCTION & CONTRACTING - HOUSING
VIKASGLOB,Vikas GlobalOne Limited,FINANCE - INVESTMENTS
VIMALOIL,Vimal Oil & Foods Limited,EDIBLE OILS & SOLVENT EXTRACTION
VIMTALABS,Vimta Labs Limited,MISCELLANEOUS
VINATIORGA,Vinati Organics Limited,CHEMICALS
VINDHYATEL,Vindhya Telelinks Limited,CABLES - TELEPHONE
VINYLINDIA,Vinyl Chemicals (India) Limited,CHEMICALS
VIPIND,VIP Industries Limited,PLASTICS
VISAKAIND,Visaka Industries Limited,CEMENT - PRODUCTS/BUILDING MATERIALS
VISASTEEL,Visa Steel Limited,STEEL - LARGE
VISESHINFO,Visesh Infotecnics Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
VISUINTL,Visu International Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
VIVIMEDLAB,Vivimed Labs Limited,PHARMACEUTICALS
VKSPL,VKS Projects Limited,ENGINEERING
VLSFINANCE,VLS Finance Limited,FINANCE - LEASING & HIRE PURCHASE
VOLTAMP,Voltamp Transformers Limited,POWER - TRANSMISSION/EQUIPMENT
VOLTAS,Voltas Limited,DIVERSIFIED
VSSL,Vardhman Special Steels Limited,STEEL - MEDIUM / SMALL
VSTIND,VST Industries Limited,CIGARETTES
VSTTILLERS,V.S.T Tillers Tractors Limited,AUTO - TRACTORS
VTL,Vardhman Textiles Limited,TEXTILES - SPINNING - COTTON BLENDED
WABAG,VA Tech Wabag Limited,INFRASTRUCTURE - GENERAL
WABCOINDIA,WABCO India Limited,AUTO ANCILLARIES
WALCHANNAG,Walchandnagar Industries Limited,ENGINEERING - HEAVY
WEIZMANIND,Weizmann Limited,TEXTILES - PROCESSING
WELCORP,Welspun Corp Limited,STEEL - TUBES/PIPES
WELINV,Welspun Investments and Commercials Limited,FINANCE - INVESTMENTS
WELPROJ,Welspun Projects Limited,CONSTRUCTION & CONTRACTING - CIVIL
WELSPUNIND,Welspun India Limited,TEXTILES - WEAVING
WHEELS,Wheels India Limited,AUTO ANCILLARIES
WHIRLPOOL,Whirlpool of India Limited,DOMESTIC APPLIANCES
WINDMACHIN,Windsor Machines Limited,ENGINEERING - HEAVY
WINSOME,Winsome Yarns Limited,BREWERIES & DISTILLERIES
WINSOMEDJ,Winsome Diamonds and Jewellery Limited,DIAMOND CUTTING/PRECIOUS METALS/JEWELLERY
WIPRO,Wipro Limited,COMPUTERS - SOFTWARE
WOCKPHARMA,Wockhardt Limited,PHARMACEUTICALS
WSI,W S Industries (I) Limited,ELECTRIC EQUIPMENT
WSTCSTPAPR,West Coast Paper Mills Limited,PAPER
WYETH,Wyeth Limited,PHARMACEUTICALS
XLENERGY,XL Energy Limited,TELECOMMUNICATIONS - EQUIPMENT
XPROINDIA,Xpro India Limited,PACKAGING
YESBANK,Yes Bank Limited,BANKS - PRIVATE SECTOR
ZANDUREALT,Zandu Realty Limited,CONSTRUCTION & CONTRACTING - REAL ESTATE
ZEEL,Zee Entertainment Enterprises Limited,COMPUTERS - SOFTWARE - TRAINING
ZEELEARN,Zee Learn Limited,COMPUTERS - SOFTWARE - TRAINING
ZEEMEDIA,Zee Media Corporation Limited,MEDIA & ENTERTAINMENT
ZENITHCOMP,Zenith Computers Limited,COMPUTERS - HARDWARE
ZENSARTECH,Zensar Technologies Limited,COMPUTERS - SOFTWARE
ZICOM,Zicom Electronic Security Systems Limited,ELECTRICALS
ZODIACLOTH,Zodiac Clothing Company Limited,TEXTILES - READYMADE APPARELS
ZUARI,Zuari Agro Chemicals Limited,FERTILISERS
ZUARIGLOB,ZUARI GLOBAL LIMITED,FERTILISERS
ZYDUSWELL,Zydus Wellness Limited,VANASPATI/OILS
ZYLOG,Zylog Systems Limited,COMPUTERS - SOFTWARE MEDIUM/SMALL
